takeoffdate	landingdate	airlineMarketing	airlineOperator	airlineOwner	airportOrg	orgLAT	orgLON	airportDst	desLAT	desLON	ACtype	takeOffTime	landingTime	durationH	takeOffMinute	landingMinute		
01/01/2016 05:45	01/01/2016 20:50	Qantas	Qantas	Qantas	SYDNEY - KINGSFORD SMITH Airport	-33.94	151.179	DUBAI INTERNATIONAL	25.253	55.364	388	5:45:00	20:50:00	15:05:00	345	1250		
01/01/2016 05:50	01/01/2016 09:50	Emirates Airline	Emirates Airline	Emirates Airline	AUCKLAND INTERNATIONAL APT	-37.01	174.786	 Melbourne Airport	-37.665	144.84	388	5:50:00	9:50:00	4:00:00	350	590		
01/01/2016 05:55	01/01/2016 20:25	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	Toronto Pearson International Airport	43.682	-79.631	388	5:55:00	20:25:00	14:30:00	355	1225		
01/01/2016 06:00	01/01/2016 17:00	Korean Air	Korean Air	Korean Air	SEOUL INCHEON INTERNATIONAL AIRPORT	37.467	126.45	Los Angeles International Airport	33.941	-118.409	388	6:00:00	17:00:00	11:00:00	360	1020		
01/01/2016 06:05	01/01/2016 13:05	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	HONG KONG INTERNATIONAL APT	22.296	113.897	388	6:05:00	13:05:00	7:00:00	365	785		
01/01/2016 06:10	01/01/2016 10:10	Singapore Airlines	Singapore Airlines	Singapore Airlines	HONG KONG INTERNATIONAL APT	22.296	113.897	SINGAPORE CHANGI APT	1.363	103.992	388	6:10:00	10:10:00	4:00:00	370	610		
01/01/2016 06:15	01/01/2016 20:00	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	SYDNEY - KINGSFORD SMITH Airport	-33.94	151.179	388	6:15:00	20:00:00	13:45:00	375	1200		
01/01/2016 06:15	01/01/2016 19:35	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	 Melbourne Airport	-37.665	144.84	388	6:15:00	19:35:00	13:20:00	375	1175		
01/01/2016 06:15	01/01/2016 13:25	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	 Kuala Lumpur International Airport	2.733	101.7	388	6:15:00	13:25:00	7:10:00	375	805		
01/01/2016 06:15	01/01/2016 12:55	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	MAURITIUS	-20.431	57.68265668	388	6:15:00	12:55:00	6:40:00	375	775		
